customer_id,lead_date_id,account_opened_date_id,card_opened_date_id,loan_applied_date_id,loan_approved_date_id,mortgage_applied_date_id,mortgage_approved_date_id,first_campaign_id,first_channel_id
CUST08647,,,,,,,,,
CUST11753,,,,,,,,,
CUST05352,,,,,,,,,
CUST07095,,,,,,,,,
CUST00853,,,,,,,,,
CUST04302,,,,,,,,,
CUST14498,,,,,,,,,
CUST08157,,,,,,,,,
CUST15976,,,,,,,,,
CUST19033,,,,,,,,,
CUST16258,,,,,,,,,
CUST08427,,,,,,,,,
CUST07363,,,,,,,,,
CUST04217,,,,,,,,,
CUST14625,,,,,,,,,
CUST04709,,,,,,,,,
CUST17492,,,,,,,,,
CUST00927,,,,,,,,,
CUST09079,,,,,,,,,
CUST02773,,,,,,,,,
CUST06385,,,,,,,,,
CUST14001,,,,,,,,,
CUST10078,,,,,,,,,
CUST16492,,,,,,,,,
CUST08697,,,,,,,,,
CUST19433,,,,,,,,,
CUST03358,,,,,,,,,
CUST09572,,,,,,,,,
CUST07877,,,,,,,,,
CUST12981,,,,,,,,,
CUST12395,,,,,,,,,
CUST12058,,,,,,,,,
CUST16926,,,,,,,,,
CUST13115,,,,,,,,,
CUST11203,,,,,,,,,
CUST00917,,,,,,,,,
CUST00977,,,,,,,,,
CUST11792,,,,,,,,,
CUST19169,,,,,,,,,
CUST17332,,,,,,,,,
CUST10822,,,,,,,,,
CUST00496,,,,,,,,,
CUST17968,,,,,,,,,
CUST04770,,,,,,,,,
CUST00703,,,,,,,,,
CUST16319,,,,,,,,,
CUST13449,,,,,,,,,
CUST09436,,,,,,,,,
CUST19791,,,,,,,,,
CUST16231,,,,,,,,,
CUST02482,,,,,,,,,
CUST06545,,,,,,,,,
CUST04793,,,,,,,,,
CUST02637,,,,,,,,,
CUST00297,,,,,,,,,
CUST08876,,,,,,,,,
CUST01002,,,,,,,,,
CUST01224,,,,,,,,,
CUST06003,,,,,,,,,
CUST11659,,,,,,,,,
CUST10709,,,,,,,,,
CUST17069,,,,,,,,,
CUST19997,,,,,,,,,
CUST00589,,,,,,,,,
CUST05475,,,,,,,,,
CUST17406,,,,,,,,,
CUST07519,,,,,,,,,
CUST07449,,,,,,,,,
CUST06023,,,,,,,,,
CUST07872,,,,,,,,,
CUST08915,,,,,,,,,
CUST00199,,,,,,,,,
CUST05972,,,,,,,,,
CUST03748,,,,,,,,,
CUST19226,,,,,,,,,
CUST05151,,,,,,,,,
CUST09016,,,,,,,,,
CUST08104,,,,,,,,,
CUST02087,,,,,,,,,
CUST03249,,,,,,,,,
CUST07713,,,,,,,,,
CUST13384,,,,,,,,,
CUST10280,,,,,,,,,
CUST17837,,,,,,,,,
CUST05765,,,,,,,,,
CUST16333,,,,,,,,,
CUST06185,,,,,,,,,
CUST17858,,,,,,,,,
CUST00944,,,,,,,,,
CUST17396,,,,,,,,,
CUST08354,,,,,,,,,
CUST18176,,,,,,,,,
CUST10952,,,,,,,,,
CUST15061,,,,,,,,,
CUST04817,,,,,,,,,
CUST09923,,,,,,,,,
CUST02538,,,,,,,,,
CUST14728,,,,,,,,,
CUST03709,,,,,,,,,
CUST15471,,,,,,,,,
CUST18847,,,,,,,,,
CUST15166,,,,,,,,,
CUST08623,,,,,,,,,
CUST14134,,,,,,,,,
CUST15330,,,,,,,,,
CUST19462,,,,,,,,,
CUST19665,,,,,,,,,
CUST07576,,,,,,,,,
CUST13034,,,,,,,,,
CUST06560,,,,,,,,,
CUST01343,,,,,,,,,
CUST02533,,,,,,,,,
CUST13203,,,,,,,,,
CUST02018,,,,,,,,,
CUST08959,,,,,,,,,
CUST02539,,,,,,,,,
CUST17435,,,,,,,,,
CUST05074,,,,,,,,,
CUST11158,,,,,,,,,
CUST10467,,,,,,,,,
CUST00810,,,,,,,,,
CUST00657,,,,,,,,,
CUST16404,,,,,,,,,
CUST00454,,,,,,,,,
CUST16192,,,,,,,,,
CUST08106,,,,,,,,,
CUST04983,,,,,,,,,
CUST01407,,,,,,,,,
CUST04845,,,,,,,,,
CUST00806,,,,,,,,,
CUST10114,,,,,,,,,
CUST01409,,,,,,,,,
CUST03325,,,,,,,,,
CUST10661,,,,,,,,,
CUST19643,,,,,,,,,
CUST13816,,,,,,,,,
CUST12130,,,,,,,,,
CUST06806,,,,,,,,,
CUST05614,,,,,,,,,
CUST02444,,,,,,,,,
CUST17558,,,,,,,,,
CUST16055,,,,,,,,,
CUST01226,,,,,,,,,
CUST08414,,,,,,,,,
CUST04870,,,,,,,,,
CUST13743,,,,,,,,,
CUST04560,,,,,,,,,
CUST18281,,,,,,,,,
CUST13825,,,,,,,,,
CUST06205,,,,,,,,,
CUST00886,,,,,,,,,
CUST08001,,,,,,,,,
CUST07523,,,,,,,,,
CUST14082,,,,,,,,,
CUST01696,,,,,,,,,
CUST11871,,,,,,,,,
CUST10829,,,,,,,,,
CUST05429,,,,,,,,,
CUST09678,,,,,,,,,
CUST10131,,,,,,,,,
CUST10910,,,,,,,,,
CUST19760,,,,,,,,,
CUST04017,,,,,,,,,
CUST04003,,,,,,,,,
CUST06482,,,,,,,,,
CUST04860,,,,,,,,,
CUST18760,,,,,,,,,
CUST06014,,,,,,,,,
CUST17681,,,,,,,,,
CUST05879,,,,,,,,,
CUST17541,,,,,,,,,
CUST19676,,,,,,,,,
CUST09432,,,,,,,,,
CUST01687,,,,,,,,,
CUST03712,,,,,,,,,
CUST07881,,,,,,,,,
CUST19522,,,,,,,,,
CUST04823,,,,,,,,,
CUST07522,,,,,,,,,
CUST01847,,,,,,,,,
CUST08955,,,,,,,,,
CUST11900,,,,,,,,,
CUST10419,,,,,,,,,
CUST14931,,,,,,,,,
CUST12344,,,,,,,,,
CUST09021,,,,,,,,,
CUST01242,,,,,,,,,
CUST01440,,,,,,,,,
CUST15701,,,,,,,,,
CUST09644,,,,,,,,,
CUST13252,,,,,,,,,
CUST02253,,,,,,,,,
CUST13157,,,,,,,,,
CUST16098,,,,,,,,,
CUST07331,,,,,,,,,
CUST12240,,,,,,,,,
CUST18241,,,,,,,,,
CUST19934,,,,,,,,,
CUST17164,,,,,,,,,
CUST05491,,,,,,,,,
CUST02853,,,,,,,,,
CUST09768,,,,,,,,,
CUST06469,,,,,,,,,
CUST04374,,,,,,,,,
CUST03026,,,,,,,,,
CUST12289,,,,,,,,,
CUST14408,,,,,,,,,
CUST08029,,,,,,,,,
CUST14260,,,,,,,,,
CUST18186,,,,,,,,,
CUST10433,,,,,,,,,
CUST05497,,,,,,,,,
CUST03539,,,,,,,,,
CUST02448,,,,,,,,,
CUST04896,,,,,,,,,
CUST03291,,,,,,,,,
CUST08668,,,,,,,,,
CUST05100,,,,,,,,,
CUST10229,,,,,,,,,
CUST12537,,,,,,,,,
CUST16808,,,,,,,,,
CUST11674,,,,,,,,,
CUST16541,,,,,,,,,
CUST11212,,,,,,,,,
CUST05025,,,,,,,,,
CUST15873,,,,,,,,,
CUST11459,,,,,,,,,
CUST18371,,,,,,,,,
CUST01381,,,,,,,,,
CUST06212,,,,,,,,,
CUST18432,,,,,,,,,
CUST07416,,,,,,,,,
CUST07786,,,,,,,,,
CUST05509,,,,,,,,,
CUST03034,,,,,,,,,
CUST07553,,,,,,,,,
CUST19666,,,,,,,,,
CUST04197,,,,,,,,,
CUST10249,,,,,,,,,
CUST08782,,,,,,,,,
CUST19282,,,,,,,,,
CUST09211,,,,,,,,,
CUST10411,,,,,,,,,
CUST17798,,,,,,,,,
CUST09199,,,,,,,,,
CUST06552,,,,,,,,,
CUST18555,,,,,,,,,
CUST06045,,,,,,,,,
CUST01397,,,,,,,,,
CUST16650,,,,,,,,,
CUST16752,,,,,,,,,
CUST14589,,,,,,,,,
CUST03772,,,,,,,,,
CUST03708,,,,,,,,,
CUST14126,,,,,,,,,
CUST12706,,,,,,,,,
CUST10655,,,,,,,,,
CUST10436,,,,,,,,,
CUST16089,,,,,,,,,
CUST04583,,,,,,,,,
CUST12702,,,,,,,,,
CUST00667,,,,,,,,,
CUST19612,,,,,,,,,
CUST04675,,,,,,,,,
CUST08423,,,,,,,,,
CUST01811,,,,,,,,,
CUST16982,,,,,,,,,
CUST14609,,,,,,,,,
CUST16415,,,,,,,,,
CUST13424,,,,,,,,,
CUST06523,,,,,,,,,
CUST19193,,,,,,,,,
CUST07022,,,,,,,,,
CUST06105,,,,,,,,,
CUST02945,,,,,,,,,
CUST06526,,,,,,,,,
CUST04767,,,,,,,,,
CUST09913,,,,,,,,,
CUST12827,,,,,,,,,
